File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_039571365.1_ASM3957136v1_genomic.gbff.gz,"Klebsiella michiganensis strain CDS2301 CDS2301_1, whole genome shotgun sequence",1,,1,0,1
GCF_039571385.1_ASM3957138v1_genomic.gbff.gz,"Klebsiella michiganensis strain CDS1701 CDS1701_1, whole genome shotgun sequence",1,,1,0,1
GCF_039571405.1_ASM3957140v1_genomic.gbff.gz,"Klebsiella michiganensis strain CDS0801 CDS0801_1, whole genome shotgun sequence",1,,1,0,1
GCF_039571425.1_ASM3957142v1_genomic.gbff.gz,"Klebsiella michiganensis strain CDS0204 CDS0204_1, whole genome shotgun sequence",1,,1,0,1
GCF_039571445.1_ASM3957144v1_genomic.gbff.gz,"Klebsiella oxytoca strain CDS0301 CDS0301_1, whole genome shotgun sequence",1,,1,0,1
GCF_039571465.1_ASM3957146v1_genomic.gbff.gz,"Klebsiella michiganensis strain CDS0202 CDS0202_1, whole genome shotgun sequence",1,,1,0,1
GCF_039605015.1_ASM3960501v2_genomic.gbff.gz,"Klebsiella oxytoca strain 2024CK-00609 chromosome, complete genome",8,,8,0,1
GCF_039631385.1_ASM3963138v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2024EL-00141 NODE_100_length_537_cov_34.417073, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040097165.1_ASM4009716v1_genomic.gbff.gz,"Klebsiella oxytoca strain CLA-MB-H007 CLA-MB-H007_contig_1_length_542325, whole genome shotgun sequence",1,,1,0,1
GCF_040137155.1_ASM4013715v1_genomic.gbff.gz,"Klebsiella michiganensis strain fly-1174 NODE_108_length_677_cov_1.918333, whole genome shotgun sequence",1,,1,0,1
GCF_040137435.1_ASM4013743v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1157 NODE_103_length_568_cov_554.319756, whole genome shotgun sequence",1,,1,0,1
GCF_040138355.1_ASM4013835v1_genomic.gbff.gz,"Klebsiella michiganensis strain fly-1139 NODE_100_length_7969_cov_253.785606, whole genome shotgun sequence",1,,1,0,1
GCF_040138485.1_ASM4013848v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1123 NODE_10_length_184417_cov_107.945492, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040138515.1_ASM4013851v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1125 NODE_10_length_221233_cov_100.618581, whole genome shotgun sequence",1,,1,0,1
GCF_040138595.1_ASM4013859v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1118 NODE_10_length_167887_cov_89.757827, whole genome shotgun sequence",1,,1,0,1
GCF_040138605.1_ASM4013860v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1115 NODE_10_length_191603_cov_104.533740, whole genome shotgun sequence",1,,1,0,1
GCF_040138705.1_ASM4013870v1_genomic.gbff.gz,"Klebsiella oxytoca strain fly-1110 NODE_10_length_167887_cov_89.059627, whole genome shotgun sequence",1,,1,0,1
GCF_040139465.1_ASM4013946v1_genomic.gbff.gz,"Klebsiella michiganensis strain fly-1061 NODE_1_length_741365_cov_86.332197, whole genome shotgun sequence",0,No matching 16S rRNA product criteria,0,0
GCF_040139705.1_ASM4013970v1_genomic.gbff.gz,"Klebsiella pasteurii strain fly-1048 NODE_1_length_620331_cov_72.713506, whole genome shotgun sequence",1,,1,0,1
GCF_040215115.1_ASM4021511v1_genomic.gbff.gz,"Klebsiella michiganensis strain K2405 chromosome, complete genome",8,,2,6,2
GCF_040267715.1_ASM4026771v1_genomic.gbff.gz,"Klebsiella oxytoca strain KN chromosome, complete genome",8,,8,0,1
GCF_040270285.1_ASM4027028v1_genomic.gbff.gz,"Klebsiella grimontii strain KP001-TF60 1, whole genome shotgun sequence",1,,1,0,1
GCF_040558955.1_ASM4055895v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST324KM1 NR5633_1, whole genome shotgun sequence",8,,5,3,1
GCF_040561235.1_ASM4056123v1_genomic.gbff.gz,"Klebsiella oxytoca strain ST30KO2 NR4938_1, whole genome shotgun sequence",8,,8,0,2
GCF_040561405.1_ASM4056140v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST363KM2 NR4689_1, whole genome shotgun sequence",8,,8,0,1
GCF_040561445.1_ASM4056144v1_genomic.gbff.gz,"Klebsiella oxytoca strain ST106KO11 NR4686_1, whole genome shotgun sequence",8,,7,1,2
GCF_040563745.1_ASM4056374v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST50KM1 NR0916_1, whole genome shotgun sequence",8,,8,0,1
GCF_040564465.1_ASM4056446v1_genomic.gbff.gz,"Klebsiella oxytoca strain ST176KO1 NR0072_1, whole genome shotgun sequence",8,,8,0,3
GCF_040565235.1_ASM4056523v1_genomic.gbff.gz,"Klebsiella oxytoca strain ST30KO1 KP0552_1, whole genome shotgun sequence",8,,7,1,1
GCF_040565895.1_ASM4056589v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST167KM1 NR8124_1, whole genome shotgun sequence",8,,8,0,1
GCF_040566355.1_ASM4056635v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST43KM1 NR6500_1, whole genome shotgun sequence",8,,8,0,2
GCF_040566915.1_ASM4056691v1_genomic.gbff.gz,"Klebsiella oxytoca strain ST30KO3 NR5770_1, whole genome shotgun sequence",8,,8,0,2
GCF_040571345.1_MRSN895358_genomic.gbff.gz,"Klebsiella michiganensis strain 895358 chromosome, complete genome",8,,5,3,2
GCF_040741945.1_ASM4074194v1_genomic.gbff.gz,"Klebsiella michiganensis strain KM3809_2019 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040742065.1_ASM4074206v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO1765_2016 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040742085.1_ASM4074208v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO916_2009 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040742135.1_ASM4074213v1_genomic.gbff.gz,"Klebsiella michiganensis strain KM860_2016 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_040794845.1_ASM4079484v1_genomic.gbff.gz,"Klebsiella michiganensis strain KM-405983 scaffold1, whole genome shotgun sequence",1,,1,0,1
GCF_040797325.1_ASM4079732v1_genomic.gbff.gz,"Klebsiella michiganensis strain LACPHL-BACT-2024-00207 contig00001, whole genome shotgun sequence",0,No matching 16S rRNA product criteria,0,0
GCF_040838935.1_ASM4083893v1_genomic.gbff.gz,"Klebsiella grimontii strain 93 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_040984225.1_ASM4098422v1_genomic.gbff.gz,"Klebsiella michiganensis strain H5 NODE_1_length_451573_cov_9.716845, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041003725.1_W257_genomic.gbff.gz,"Klebsiella pasteurii strain W257 chromosome, complete genome",8,,8,0,1
GCF_041003735.1_W255_genomic.gbff.gz,"Klebsiella pasteurii strain W255 chromosome, complete genome",8,,5,3,1
GCF_041202595.1_ASM4120259v1_genomic.gbff.gz,"Klebsiella oxytoca strain 297D6 ctg_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041226105.1_ASM4122610v1_genomic.gbff.gz,"Klebsiella pasteurii strain 5-274 voucher GPTB0032 scaffold1, whole genome shotgun sequence",1,,1,0,1
GCF_041227195.1_ASM4122719v1_genomic.gbff.gz,"Klebsiella michiganensis strain SXY-KO NODE_1_length_188674_cov_97.715393, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041282745.1_ASM4128274v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2021CK-01841 chromosome, complete genome",8,,8,0,2
GCF_041283355.1_ASM4128335v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2022CK-00199 chromosome, complete genome",8,,7,1,3
GCF_041283395.1_ASM4128339v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2022CK-00289 chromosome, complete genome",8,,8,0,2
GCF_041283405.1_ASM4128340v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2022CK-00479 chromosome, complete genome",8,,7,1,3
GCF_041283475.1_ASM4128347v1_genomic.gbff.gz,"Klebsiella pasteurii strain 2023CK-01306 chromosome, complete genome",8,,8,0,2
GCF_041283485.1_ASM4128348v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2022CK-00623 chromosome, complete genome",8,,7,1,2
GCF_041283495.1_ASM4128349v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2023CK-00457 chromosome, complete genome",8,,4,4,1
GCF_041353115.1_ASM4135311v1_genomic.gbff.gz,"Klebsiella oxytoca strain F05 NODE_1_length_387460_cov_88.050552, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041698715.1_ASM4169871v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox-70 voucher CIFTWPfiveKO9 NODE_10_length_231100_cov_14.000996, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041699445.1_ASM4169944v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox-77 voucher CIFTWPfiveKO16 NODE_100_length_237_cov_53.045455, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_041699465.1_ASM4169946v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox-78 voucher CIFTWPfiveKO17 NODE_100_length_255_cov_65.937500, whole genome shotgun sequence",1,,1,0,1
GCF_042137955.1_sbm_k_oxy_1_genomic.gbff.gz,"Klebsiella oxytoca strain 3238 chromosome, complete genome",8,,8,0,1
GCF_042137965.1_sbm_k_grim_1_genomic.gbff.gz,"Klebsiella grimontii strain 2750 chromosome, complete genome",8,,8,0,1
GCF_042274125.1_ASM4227412v1_genomic.gbff.gz,"Klebsiella michiganensis strain a14 Contig_000001, whole genome shotgun sequence",1,,1,0,1
GCF_900083565.1_12082_4_84_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682563, whole genome shotgun sequence",1,,1,0,1
GCF_900083575.1_12045_6_1_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682446, whole genome shotgun sequence",1,,1,0,1
GCF_900083585.1_12045_6_24_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682471, whole genome shotgun sequence",1,,1,0,1
GCF_900083595.1_12045_6_57_genomic.gbff.gz,"Klebsiella grimontii strain 2880STDY5682505, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_900083605.1_11983_8_48_genomic.gbff.gz,"Klebsiella grimontii strain 2880STDY5682622, whole genome shotgun sequence",1,,1,0,1
GCF_900083615.1_11983_8_91_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682683, whole genome shotgun sequence",1,,1,0,1
GCF_900083625.1_11983_8_83_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682672, whole genome shotgun sequence",1,,1,0,1
GCF_900083635.1_12082_2_19_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682809, whole genome shotgun sequence",1,,1,0,1
GCF_900083645.1_12082_5_20_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682681, whole genome shotgun sequence",1,,1,0,1
GCF_900083655.1_11983_8_52_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682626, whole genome shotgun sequence",1,,1,0,1
GCF_900083675.1_12045_6_65_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682516, whole genome shotgun sequence",1,,1,0,1
GCF_900083695.1_12045_6_61_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682512, whole genome shotgun sequence",1,,1,0,1
GCF_900083705.1_12045_6_72_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682532, whole genome shotgun sequence",1,,1,0,1
GCF_900083715.1_12045_6_80_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682541, whole genome shotgun sequence",1,,1,0,1
GCF_900083725.1_12045_6_46_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682493, whole genome shotgun sequence",1,,1,0,1
GCF_900083735.1_12045_5_89_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682436, whole genome shotgun sequence",1,,1,0,1
GCF_900083745.1_11983_8_86_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682675, whole genome shotgun sequence",1,,1,0,1
GCF_900083765.1_12045_6_56_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682504, whole genome shotgun sequence",1,,1,0,1
GCF_900083785.1_12045_6_48_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682495, whole genome shotgun sequence",1,,1,0,1
GCF_900083795.1_12045_7_49_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682743, whole genome shotgun sequence",1,,1,0,1
GCF_900083805.1_11983_8_73_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682653, whole genome shotgun sequence",1,,1,0,1
GCF_900083815.1_11983_8_93_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682686, whole genome shotgun sequence",1,,1,0,1
GCF_900083825.1_11983_8_7_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682571, whole genome shotgun sequence",1,,1,0,1
GCF_900083835.1_12045_7_3_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682693, whole genome shotgun sequence",1,,1,0,1
GCF_900083855.1_12045_6_35_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682482, whole genome shotgun sequence",1,,1,0,1
GCF_900083865.1_12082_4_71_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682456, whole genome shotgun sequence",1,,1,0,1
GCF_900083875.1_11983_8_42_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682611, whole genome shotgun sequence",1,,1,0,1
GCF_900083885.1_12045_6_23_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682470, whole genome shotgun sequence",1,,1,0,1
GCF_900083895.1_12045_6_44_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682490, whole genome shotgun sequence",1,,1,0,1
GCF_900083905.1_12045_5_88_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682435, whole genome shotgun sequence",1,,1,0,1
GCF_900083915.1_11983_8_30_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682598, whole genome shotgun sequence",1,,1,0,1
GCF_900083945.1_12045_6_10_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682455, whole genome shotgun sequence",1,,1,0,1
GCF_900083955.1_12045_7_17_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682710, whole genome shotgun sequence",1,,1,0,1
GCF_900083965.1_12045_6_81_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682542, whole genome shotgun sequence",1,,1,0,1
GCF_900083975.1_12045_6_58_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682506, whole genome shotgun sequence",1,,1,0,1
GCF_900083985.1_12045_6_90_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682554, whole genome shotgun sequence",1,,1,0,1
GCF_900083995.1_12045_6_74_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682534, whole genome shotgun sequence",1,,1,0,1
GCF_900084015.1_12082_2_4_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682795, whole genome shotgun sequence",1,,1,0,1
GCF_900084025.1_11983_8_41_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682610, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_900084035.1_12082_5_21_genomic.gbff.gz,"Klebsiella michiganensis strain 2880STDY5682685, whole genome shotgun sequence",1,,1,0,1
GCF_900084045.1_12082_5_29_genomic.gbff.gz,"Klebsiella oxytoca strain 2880STDY5682786, whole genome shotgun sequence",1,,1,0,1
GCF_900200035.1_ASM90020003v1_genomic.gbff.gz,"Klebsiella grimontii strain 06D021, whole genome shotgun sequence",1,,1,0,1
GCF_900407115.1_De_novo_assembly_of_KCRI_isolate_R0004_259C_genomic.gbff.gz,"Klebsiella oxytoca strain KCRI-259C isolate R0004_259C, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_900407165.1_De_novo_assembly_of_KCRI_isolate_RDK37_40_genomic.gbff.gz,"Klebsiella michiganensis strain KCRI-40 isolate RDK37_40, whole genome shotgun sequence",1,,1,0,1
GCF_900407255.1_De_novo_assembly_of_KCRI_isolate_R0009_567C_genomic.gbff.gz,"Klebsiella michiganensis strain KCRI-567C isolate R0009_567C, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_900451165.1_44787_G01_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC13775, whole genome shotgun sequence",8,,6,2,2
GCF_900451235.1_36340_F02_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC11691, whole genome shotgun sequence",8,,5,3,2
GCF_900451255.1_32473_E02_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC11696, whole genome shotgun sequence",8,,8,0,5
GCF_900478285.1_36005_G01_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC11355 genome assembly, chromosome: 1",8,,5,3,2
GCF_900635105.1_36109_D01_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC11356 chromosome 1, complete sequence",8,,5,3,2
GCF_900636985.1_45889_C01_genomic.gbff.gz,"Klebsiella oxytoca strain NCTC13727 chromosome 1, complete sequence",8,,4,4,1
GCF_900977765.1_ATCC13182.1_genomic.gbff.gz,"Klebsiella oxytoca isolate rATCC13182, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_901212425.1_NZ_Klebsiella_oxytoca_MC1_genomic.gbff.gz,"Klebsiella oxytoca isolate Klebsiella_oxytoca_MC1, whole genome shotgun sequence",1,,1,0,1
GCF_901542455.1_40345_E01_genomic.gbff.gz,Klebsiella grimontii strain NCTC9146 substr. serovar casular type 26 substr. serovar casular type 26 chromosome 1,8,,5,3,2
GCF_901553745.1_SB9_16A079_Ko1_genomic.gbff.gz,"Klebsiella michiganensis isolate SB9, whole genome shotgun sequence",1,,1,0,1
GCF_901556995.1_SB4934_W14T_Ko1_genomic.gbff.gz,"Klebsiella michiganensis isolate SB4934, whole genome shotgun sequence",8,,6,2,3
GCF_901563825.1_SB3355_SG266_Ko4_genomic.gbff.gz,"Klebsiella pasteurii isolate SB3355, whole genome shotgun sequence",1,,1,0,1
GCF_901563875.1_SB3356_SG271_Ko3_genomic.gbff.gz,"Klebsiella spallanzanii isolate SB3356, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_901563895.1_SB2908_10A188_Ko1_genomic.gbff.gz,"Klebsiella michiganensis isolate SB2908, whole genome shotgun sequence",1,,1,0,1
GCF_902158545.1_SB6410_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6410, whole genome shotgun sequence",1,,1,0,1
GCF_902158555.1_SB6411_genomic.gbff.gz,"Klebsiella spallanzanii isolate SB6411, whole genome shotgun sequence",1,,1,0,1
GCF_902158565.1_SB6419_genomic.gbff.gz,"Klebsiella spallanzanii isolate SB6419, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_902158575.1_SB6409_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6409, whole genome shotgun sequence",1,,1,0,1
GCF_902158585.1_SB6407_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6407, whole genome shotgun sequence",1,,1,0,1
GCF_902158595.1_SB6408_genomic.gbff.gz,"Klebsiella spallanzanii isolate SB6408, whole genome shotgun sequence",1,,1,0,1
GCF_902158605.1_SB6422_genomic.gbff.gz,"Klebsiella huaxiensis isolate SB6422, whole genome shotgun sequence",1,,1,0,1
GCF_902158625.1_SB6421_genomic.gbff.gz,"Klebsiella huaxiensis isolate SB6421, whole genome shotgun sequence",1,,1,0,1
GCF_902158635.1_SB6415_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6415, whole genome shotgun sequence",1,,1,0,1
GCF_902158645.1_SB6420_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6420, whole genome shotgun sequence",1,,1,0,1
GCF_902158655.1_SB6414_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6414, whole genome shotgun sequence",1,,1,0,1
GCF_902158665.1_SB6416_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6416, whole genome shotgun sequence",1,,1,0,1
GCF_902158685.1_SB6424_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6424, whole genome shotgun sequence",1,,1,0,1
GCF_902158695.1_SB6417_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6417, whole genome shotgun sequence",1,,1,0,1
GCF_902158705.1_SB6423_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6423, whole genome shotgun sequence",1,,1,0,1
GCF_902158715.1_SB6413_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6413, whole genome shotgun sequence",1,,1,0,1
GCF_902158725.1_SB6412_genomic.gbff.gz,"Klebsiella pasteurii isolate SB6412, whole genome shotgun sequence",1,,1,0,1
GCF_902158835.1_25426_7_11_genomic.gbff.gz,"Klebsiella oxytoca strain 4928STDY7071294, whole genome shotgun sequence",1,,1,0,1
GCF_902158845.1_25426_7_19_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071315, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_902158915.1_25426_7_15_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071300, whole genome shotgun sequence",1,,1,0,1
GCF_902159075.1_25426_7_27_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071335, whole genome shotgun sequence",1,,1,0,1
GCF_902159485.1_25426_7_80_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071291, whole genome shotgun sequence",1,,1,0,1
GCF_902159515.1_25426_7_77_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071654, whole genome shotgun sequence",1,,1,0,1
GCF_902159535.1_25426_7_89_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071306, whole genome shotgun sequence",1,,1,0,1
GCF_902159585.1_25426_7_84_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071299, whole genome shotgun sequence",1,,1,0,1
GCF_902159595.1_25426_7_91_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071309, whole genome shotgun sequence",1,,1,0,1
GCF_902159605.1_25426_7_82_genomic.gbff.gz,"Klebsiella oxytoca strain 4928STDY7071293, whole genome shotgun sequence",1,,1,0,1
GCF_902159625.1_25426_7_83_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071297, whole genome shotgun sequence",1,,1,0,1
GCF_902159665.1_25426_7_100_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071327, whole genome shotgun sequence",1,,1,0,1
GCF_902159715.1_25426_7_95_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071314, whole genome shotgun sequence",1,,1,0,1
GCF_902159745.1_25426_7_106_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071333, whole genome shotgun sequence",1,,1,0,1
GCF_902159765.1_25426_7_105_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071332, whole genome shotgun sequence",1,,1,0,1
GCF_902159775.1_25426_7_111_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071339, whole genome shotgun sequence",1,,1,0,1
GCF_902159785.1_25426_7_115_genomic.gbff.gz,"Klebsiella oxytoca strain 4928STDY7071345, whole genome shotgun sequence",1,,1,0,1
GCF_902159795.1_25426_7_107_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071334, whole genome shotgun sequence",1,,1,0,1
GCF_902159805.1_25426_7_104_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071331, whole genome shotgun sequence",1,,1,0,1
GCF_902159815.1_25426_7_109_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071337, whole genome shotgun sequence",1,,1,0,1
GCF_902159865.1_25426_7_125_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071363, whole genome shotgun sequence",1,,1,0,1
GCF_902159905.1_25426_7_124_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071362, whole genome shotgun sequence",1,,1,0,1
GCF_902160175.1_25426_7_158_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071405, whole genome shotgun sequence",1,,1,0,1
GCF_902160195.1_25426_7_156_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071403, whole genome shotgun sequence",1,,1,0,1
GCF_902160215.1_25426_7_154_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071401, whole genome shotgun sequence",1,,1,0,1
GCF_902160225.1_25426_7_157_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071404, whole genome shotgun sequence",1,,1,0,1
GCF_902160245.1_25426_7_159_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071406, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_902160265.1_25426_7_165_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071413, whole genome shotgun sequence",1,,1,0,1
GCF_902160275.1_25426_7_167_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071415, whole genome shotgun sequence",1,,1,0,1
GCF_902160315.1_25426_7_161_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071408, whole genome shotgun sequence",1,,1,0,1
GCF_902160335.1_25426_7_171_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071420, whole genome shotgun sequence",1,,1,0,1
GCF_902160345.1_25426_7_176_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071425, whole genome shotgun sequence",1,,1,0,1
GCF_902160355.1_25426_7_172_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071421, whole genome shotgun sequence",1,,1,0,1
GCF_902160365.1_25426_7_173_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071422, whole genome shotgun sequence",1,,1,0,1
GCF_902160515.1_25426_7_183_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071433, whole genome shotgun sequence",1,,1,0,1
GCF_902160585.1_25426_7_195_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071448, whole genome shotgun sequence",1,,1,0,1
GCF_902160605.1_25426_7_196_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071449, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_902160675.1_25426_7_211_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071470, whole genome shotgun sequence",1,,1,0,1
GCF_902160685.1_25426_7_209_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071467, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_902160725.1_25426_7_203_genomic.gbff.gz,"Klebsiella michiganensis strain 4928STDY7071458, whole genome shotgun sequence",1,,1,0,1
GCF_902160755.1_25426_7_205_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071460, whole genome shotgun sequence",1,,1,0,1
GCF_902160765.1_25426_7_217_genomic.gbff.gz,"Klebsiella oxytoca strain 4928STDY7071478, whole genome shotgun sequence",1,,1,0,1
GCF_902160775.1_25426_7_216_genomic.gbff.gz,"Klebsiella grimontii strain 4928STDY7071477, whole genome shotgun sequence",1,,1,0,1
